,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
99,2 layer default GCN weighted,0.85,in,7,40,400
100,2 layer default GCN weighted,0.88,trans,7,100,400
101,2 layer default GCN weighted,0.86,in,7,100,400
102,2 layer default GCN weighted,0.87,trans,7,200,400
103,2 layer default GCN weighted,0.83,in,7,200,400
104,2 layer default GCN weighted,0.87,trans,7,300,400
105,2 layer default GCN weighted,0.86,in,7,300,400
106,2 layer default GCN weighted,0.87,trans,7,400,400
107,2 layer default GCN weighted,0.85,in,7,400,400
108,2 layer default GCN weighted,0.8683333333333333,trans,7,600,400
109,2 layer default GCN weighted,0.8266666666666667,in,7,600,400
110,2 layer default GCN weighted,0.898,trans,7,1000,400
