,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.85,trans,0,40,400
1,2 layer GCN with Edge Weights,0.825,in,0,40,400
2,2 layer GCN with Edge Weights,0.8,trans,0,100,400
3,2 layer GCN with Edge Weights,0.83,in,0,100,400
4,2 layer GCN with Edge Weights,0.81,trans,0,200,400
5,2 layer GCN with Edge Weights,0.845,in,0,200,400
6,2 layer GCN with Edge Weights,0.79,trans,0,300,400
7,2 layer GCN with Edge Weights,0.8066666666666666,in,0,300,400
8,2 layer GCN with Edge Weights,0.81,trans,0,400,400
9,2 layer GCN with Edge Weights,0.83,in,0,400,400
10,2 layer GCN with Edge Weights,0.8016666666666666,trans,0,600,400
11,2 layer GCN with Edge Weights,0.845,in,0,600,400
12,2 layer GCN with Edge Weights,0.793,trans,0,1000,400
13,2 layer GCN with Edge Weights,0.837,in,0,1000,400
14,2 layer GCN with Edge Weights,0.875,trans,1,40,400
15,2 layer GCN with Edge Weights,0.925,in,1,40,400
16,2 layer GCN with Edge Weights,0.85,trans,1,100,400
17,2 layer GCN with Edge Weights,0.86,in,1,100,400
18,2 layer GCN with Edge Weights,0.805,trans,1,200,400
19,2 layer GCN with Edge Weights,0.86,in,1,200,400
20,2 layer GCN with Edge Weights,0.8333333333333334,trans,1,300,400
21,2 layer GCN with Edge Weights,0.86,in,1,300,400
22,2 layer GCN with Edge Weights,0.8225,trans,1,400,400
23,2 layer GCN with Edge Weights,0.8525,in,1,400,400
24,2 layer GCN with Edge Weights,0.8,trans,1,600,400
25,2 layer GCN with Edge Weights,0.8533333333333334,in,1,600,400
26,2 layer GCN with Edge Weights,0.791,trans,1,1000,400
27,2 layer GCN with Edge Weights,0.861,in,1,1000,400
28,2 layer GCN with Edge Weights,0.825,trans,2,40,400
29,2 layer GCN with Edge Weights,0.9,in,2,40,400
30,2 layer GCN with Edge Weights,0.85,trans,2,100,400
31,2 layer GCN with Edge Weights,0.85,in,2,100,400
32,2 layer GCN with Edge Weights,0.77,trans,2,200,400
33,2 layer GCN with Edge Weights,0.855,in,2,200,400
34,2 layer GCN with Edge Weights,0.79,trans,2,300,400
35,2 layer GCN with Edge Weights,0.8133333333333334,in,2,300,400
36,2 layer GCN with Edge Weights,0.7675,trans,2,400,400
37,2 layer GCN with Edge Weights,0.8375,in,2,400,400
38,2 layer GCN with Edge Weights,0.8016666666666666,trans,2,600,400
39,2 layer GCN with Edge Weights,0.865,in,2,600,400
40,2 layer GCN with Edge Weights,0.766,trans,2,1000,400
41,2 layer GCN with Edge Weights,0.835,in,2,1000,400
42,2 layer GCN with Edge Weights,0.775,trans,3,40,400
43,2 layer GCN with Edge Weights,0.775,in,3,40,400
44,2 layer GCN with Edge Weights,0.78,trans,3,100,400
45,2 layer GCN with Edge Weights,0.87,in,3,100,400
46,2 layer GCN with Edge Weights,0.77,trans,3,200,400
47,2 layer GCN with Edge Weights,0.86,in,3,200,400
