,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
90,2 layer GCN with Edge Weights,0.25,in,0,3200,1600
91,2 layer GCN without Edge Weights,0.25,in,0,3200,1600
92,2 layer GCN with Edge Weights,0.25,in,0,3200,3200
93,2 layer GCN without Edge Weights,0.25,in,0,3200,3200
94,2 layer GCN with Edge Weights,0.675,trans,1,40,80
95,2 layer GCN without Edge Weights,0.8,trans,1,40,80
96,2 layer GCN with Edge Weights,0.25,in,1,40,80
97,2 layer GCN without Edge Weights,0.25,in,1,40,80
98,2 layer GCN with Edge Weights,0.8,trans,1,40,160
99,2 layer GCN without Edge Weights,0.9,trans,1,40,160
100,2 layer GCN with Edge Weights,0.25,in,1,40,160
101,2 layer GCN without Edge Weights,0.25,in,1,40,160
102,2 layer GCN with Edge Weights,0.775,trans,1,40,400
103,2 layer GCN without Edge Weights,0.975,trans,1,40,400
104,2 layer GCN with Edge Weights,0.25,in,1,40,400
105,2 layer GCN without Edge Weights,0.25,in,1,40,400
106,2 layer GCN with Edge Weights,0.9,trans,1,40,800
107,2 layer GCN without Edge Weights,0.95,trans,1,40,800
108,2 layer GCN with Edge Weights,0.25,in,1,40,800
109,2 layer GCN without Edge Weights,0.25,in,1,40,800
110,2 layer GCN with Edge Weights,0.875,trans,1,40,1600
111,2 layer GCN without Edge Weights,0.975,trans,1,40,1600
112,2 layer GCN with Edge Weights,0.25,in,1,40,1600
113,2 layer GCN without Edge Weights,0.25,in,1,40,1600
114,2 layer GCN with Edge Weights,0.85,trans,1,40,3200
115,2 layer GCN without Edge Weights,1.0,trans,1,40,3200
116,2 layer GCN with Edge Weights,0.25,in,1,40,3200
117,2 layer GCN without Edge Weights,0.25,in,1,40,3200
118,2 layer GCN with Edge Weights,0.68,trans,1,400,80
119,2 layer GCN without Edge Weights,0.825,trans,1,400,80
120,2 layer GCN with Edge Weights,0.25,in,1,400,80
121,2 layer GCN without Edge Weights,0.25,in,1,400,80
122,2 layer GCN with Edge Weights,0.7825,trans,1,400,160
123,2 layer GCN without Edge Weights,0.895,trans,1,400,160
124,2 layer GCN with Edge Weights,0.25,in,1,400,160
125,2 layer GCN without Edge Weights,0.25,in,1,400,160
126,2 layer GCN with Edge Weights,0.8075,trans,1,400,400
127,2 layer GCN without Edge Weights,0.9,trans,1,400,400
128,2 layer GCN with Edge Weights,0.25,in,1,400,400
129,2 layer GCN without Edge Weights,0.25,in,1,400,400
130,2 layer GCN with Edge Weights,0.8275,trans,1,400,800
131,2 layer GCN without Edge Weights,0.92,trans,1,400,800
132,2 layer GCN with Edge Weights,0.25,in,1,400,800
133,2 layer GCN without Edge Weights,0.25,in,1,400,800
134,2 layer GCN with Edge Weights,0.83,trans,1,400,1600
135,2 layer GCN without Edge Weights,0.9175,trans,1,400,1600
136,2 layer GCN with Edge Weights,0.25,in,1,400,1600
137,2 layer GCN without Edge Weights,0.25,in,1,400,1600
138,2 layer GCN with Edge Weights,0.8425,trans,1,400,3200
139,2 layer GCN without Edge Weights,0.9175,trans,1,400,3200
140,2 layer GCN with Edge Weights,0.25,in,1,400,3200
141,2 layer GCN without Edge Weights,0.25,in,1,400,3200
142,2 layer GCN with Edge Weights,0.623,trans,1,1000,80
143,2 layer GCN without Edge Weights,0.851,trans,1,1000,80
144,2 layer GCN with Edge Weights,0.25,in,1,1000,80
145,2 layer GCN without Edge Weights,0.25,in,1,1000,80
146,2 layer GCN with Edge Weights,0.752,trans,1,1000,160
147,2 layer GCN without Edge Weights,0.878,trans,1,1000,160
148,2 layer GCN with Edge Weights,0.25,in,1,1000,160
149,2 layer GCN without Edge Weights,0.25,in,1,1000,160
150,2 layer GCN with Edge Weights,0.769,trans,1,1000,400
151,2 layer GCN without Edge Weights,0.876,trans,1,1000,400
152,2 layer GCN with Edge Weights,0.25,in,1,1000,400
153,2 layer GCN without Edge Weights,0.25,in,1,1000,400
154,2 layer GCN with Edge Weights,0.82,trans,1,1000,800
155,2 layer GCN without Edge Weights,0.912,trans,1,1000,800
156,2 layer GCN with Edge Weights,0.25,in,1,1000,800
157,2 layer GCN without Edge Weights,0.25,in,1,1000,800
158,2 layer GCN with Edge Weights,0.833,trans,1,1000,1600
159,2 layer GCN without Edge Weights,0.913,trans,1,1000,1600
160,2 layer GCN with Edge Weights,0.25,in,1,1000,1600
161,2 layer GCN without Edge Weights,0.25,in,1,1000,1600
162,2 layer GCN with Edge Weights,0.829,trans,1,1000,3200
163,2 layer GCN without Edge Weights,0.921,trans,1,1000,3200
