,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.8,trans,0,400,3200
1,2 layer GCN without Edge Weights,0.65,trans,0,400,3200
2,2 layer GCN with Edge Weights,0.65,in,0,400,3200
3,2 layer GCN without Edge Weights,0.55,in,0,400,3200
4,2 layer GCN with Edge Weights,0.8,trans,0,400,3200
5,2 layer GCN without Edge Weights,0.875,trans,0,400,3200
6,2 layer GCN with Edge Weights,0.525,in,0,400,3200
7,2 layer GCN without Edge Weights,0.475,in,0,400,3200
8,2 layer GCN with Edge Weights,0.875,trans,0,400,3200
9,2 layer GCN without Edge Weights,0.9,trans,0,400,3200
10,2 layer GCN with Edge Weights,0.4,in,0,400,3200
11,2 layer GCN without Edge Weights,0.425,in,0,400,3200
12,2 layer GCN with Edge Weights,0.9,trans,0,400,3200
13,2 layer GCN without Edge Weights,0.875,trans,0,400,3200
14,2 layer GCN with Edge Weights,0.475,in,0,400,3200
15,2 layer GCN with Edge Weights,0.8,trans,0,400,3200
16,2 layer GCN without Edge Weights,0.95,trans,0,400,3200
17,2 layer GCN with Edge Weights,0.875,trans,0,400,3200
18,2 layer GCN without Edge Weights,0.95,trans,0,400,3200
19,2 layer GCN with Edge Weights,0.7325,trans,0,400,3200
20,2 layer GCN without Edge Weights,0.775,trans,0,400,3200
21,2 layer GCN with Edge Weights,0.7575,trans,0,400,3200
22,2 layer GCN without Edge Weights,0.8775,trans,0,400,3200
23,2 layer GCN with Edge Weights,0.8275,trans,0,400,3200
24,2 layer GCN without Edge Weights,0.875,trans,0,400,3200
25,2 layer GCN with Edge Weights,0.8525,trans,0,400,3200
26,2 layer GCN without Edge Weights,0.8975,trans,0,400,3200
27,2 layer GCN with Edge Weights,0.81,trans,0,400,3200
28,2 layer GCN without Edge Weights,0.92,trans,0,400,3200
29,2 layer GCN with Edge Weights,0.8125,trans,0,400,3200
