,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
104,1 layer GCN weighted,0.833,in,5,1000,400
105,2 layer GCN weighted,0.846,in,5,1000,400
106,2 layer GCN unweighted,0.85,in,5,1000,400
107,4 layer GCN unweighted,0.816,in,5,1000,400
108,1 hop SimpleGCN,0.877,in,5,1000,400
109,3 hop SimpleGCN,0.868,in,5,1000,400
110,4 head GAT,0.805,in,5,1000,400
111,2 head GAT,0.75,in,5,1000,400
112,4 head no concat GAT,0.836,in,5,1000,400
113,1 layer GCN weighted,0.751,trans,6,1000,400
114,2 layer GCN weighted,0.786,trans,6,1000,400
115,2 layer GCN unweighted,0.879,trans,6,1000,400
116,2 layer GCN unweighted no EMBED,0.886,trans,6,1000,400
117,4 layer GCN unweighted,0.774,trans,6,1000,400
118,1 hop SimpleGCN,0.831,trans,6,1000,400
