,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
117,300 80 GCN,0.856,in,6,1000,400
118,200 80 GCN,0.824,in,6,1000,400
119,100 80 GCN,0.815,in,6,1000,400
120,40 80 GCN,0.769,in,6,1000,400
121,40 40 GCN,0.772,in,6,1000,400
122,40 10 GCN,0.774,in,6,1000,400
123,200 40 GCN,0.837,in,6,1000,400
124,200 20 GCN,0.828,in,6,1000,400
125,200 200 GCN,0.825,in,6,1000,400
126,300 80 GCN,0.889,trans,7,1000,400
127,200 80 GCN,0.903,trans,7,1000,400
128,100 80 GCN,0.879,trans,7,1000,400
129,40 80 GCN,0.869,trans,7,1000,400
130,40 40 GCN,0.879,trans,7,1000,400
131,40 10 GCN,0.875,trans,7,1000,400
132,200 40 GCN,0.883,trans,7,1000,400
133,200 20 GCN,0.884,trans,7,1000,400
134,200 200 GCN,0.865,trans,7,1000,400
135,300 80 GCN,0.864,in,7,1000,400
136,200 80 GCN,0.839,in,7,1000,400
137,100 80 GCN,0.83,in,7,1000,400
138,40 80 GCN,0.791,in,7,1000,400
139,40 40 GCN,0.793,in,7,1000,400
140,40 10 GCN,0.776,in,7,1000,400
141,200 40 GCN,0.854,in,7,1000,400
142,200 20 GCN,0.805,in,7,1000,400
143,200 200 GCN,0.845,in,7,1000,400
144,300 80 GCN,0.884,trans,8,1000,400
145,200 80 GCN,0.882,trans,8,1000,400
146,100 80 GCN,0.878,trans,8,1000,400
147,40 80 GCN,0.87,trans,8,1000,400
148,40 40 GCN,0.877,trans,8,1000,400
149,40 10 GCN,0.864,trans,8,1000,400
150,200 40 GCN,0.882,trans,8,1000,400
151,200 20 GCN,0.881,trans,8,1000,400
152,200 200 GCN,0.876,trans,8,1000,400
153,300 80 GCN,0.865,in,8,1000,400
154,200 80 GCN,0.834,in,8,1000,400
155,100 80 GCN,0.817,in,8,1000,400
156,40 80 GCN,0.8,in,8,1000,400
157,40 40 GCN,0.8,in,8,1000,400
158,40 10 GCN,0.802,in,8,1000,400
159,200 40 GCN,0.857,in,8,1000,400
160,200 20 GCN,0.86,in,8,1000,400
161,200 200 GCN,0.82,in,8,1000,400
162,300 80 GCN,0.879,trans,9,1000,400
163,200 80 GCN,0.856,trans,9,1000,400
164,100 80 GCN,0.857,trans,9,1000,400
165,40 80 GCN,0.868,trans,9,1000,400
166,40 40 GCN,0.875,trans,9,1000,400
167,40 10 GCN,0.856,trans,9,1000,400
168,200 40 GCN,0.871,trans,9,1000,400
169,200 20 GCN,0.842,trans,9,1000,400
170,200 200 GCN,0.866,trans,9,1000,400
171,300 80 GCN,0.827,in,9,1000,400
172,200 80 GCN,0.826,in,9,1000,400
173,100 80 GCN,0.817,in,9,1000,400
174,40 80 GCN,0.798,in,9,1000,400
175,40 40 GCN,0.781,in,9,1000,400
176,40 10 GCN,0.765,in,9,1000,400
177,200 40 GCN,0.833,in,9,1000,400
178,200 20 GCN,0.838,in,9,1000,400
179,200 200 GCN,0.824,in,9,1000,400
