,test_name,acc,ductive,seed,unlabeled_amount,labeled_amount
0,2 layer GCN with Edge Weights,0.8,trans,0,40,160
1,2 layer GCN with Edge Weights,0.8,in,0,40,160
2,2 layer GCN with Edge Weights,0.77,trans,0,100,160
3,2 layer GCN with Edge Weights,0.79,in,0,100,160
4,2 layer GCN with Edge Weights,0.82,trans,0,200,160
5,2 layer GCN with Edge Weights,0.79,in,0,200,160
6,2 layer GCN with Edge Weights,0.73,trans,0,300,160
7,2 layer GCN with Edge Weights,0.72,in,0,300,160
8,2 layer GCN with Edge Weights,0.77,trans,0,400,160
9,2 layer GCN with Edge Weights,0.77,in,0,400,160
10,2 layer GCN with Edge Weights,0.7483333333333333,trans,0,600,160
11,2 layer GCN with Edge Weights,0.7816666666666666,in,0,600,160
12,2 layer GCN with Edge Weights,0.728,trans,0,1000,160
13,2 layer GCN with Edge Weights,0.754,in,0,1000,160
14,2 layer GCN with Edge Weights,0.875,trans,1,40,160
15,2 layer GCN with Edge Weights,0.85,in,1,40,160
16,2 layer GCN with Edge Weights,0.8,trans,1,100,160
17,2 layer GCN with Edge Weights,0.83,in,1,100,160
18,2 layer GCN with Edge Weights,0.815,trans,1,200,160
19,2 layer GCN with Edge Weights,0.78,in,1,200,160
20,2 layer GCN with Edge Weights,0.7866666666666666,trans,1,300,160
21,2 layer GCN with Edge Weights,0.81,in,1,300,160
22,2 layer GCN with Edge Weights,0.8175,trans,1,400,160
23,2 layer GCN with Edge Weights,0.785,in,1,400,160
24,2 layer GCN with Edge Weights,0.7933333333333333,trans,1,600,160
25,2 layer GCN with Edge Weights,0.7933333333333333,in,1,600,160
26,2 layer GCN with Edge Weights,0.779,trans,1,1000,160
27,2 layer GCN with Edge Weights,0.834,in,1,1000,160
28,2 layer GCN with Edge Weights,0.75,trans,2,40,160
29,2 layer GCN with Edge Weights,0.725,in,2,40,160
30,2 layer GCN with Edge Weights,0.82,trans,2,100,160
31,2 layer GCN with Edge Weights,0.75,in,2,100,160
32,2 layer GCN with Edge Weights,0.765,trans,2,200,160
33,2 layer GCN with Edge Weights,0.755,in,2,200,160
34,2 layer GCN with Edge Weights,0.7866666666666666,trans,2,300,160
35,2 layer GCN with Edge Weights,0.81,in,2,300,160
36,2 layer GCN with Edge Weights,0.7175,trans,2,400,160
37,2 layer GCN with Edge Weights,0.7775,in,2,400,160
38,2 layer GCN with Edge Weights,0.7466666666666667,trans,2,600,160
39,2 layer GCN with Edge Weights,0.795,in,2,600,160
40,2 layer GCN with Edge Weights,0.711,trans,2,1000,160
41,2 layer GCN with Edge Weights,0.778,in,2,1000,160
42,2 layer GCN with Edge Weights,0.725,trans,3,40,160
43,2 layer GCN with Edge Weights,0.8,in,3,40,160
44,2 layer GCN with Edge Weights,0.74,trans,3,100,160
45,2 layer GCN with Edge Weights,0.77,in,3,100,160
46,2 layer GCN with Edge Weights,0.73,trans,3,200,160
47,2 layer GCN with Edge Weights,0.75,in,3,200,160
48,2 layer GCN with Edge Weights,0.74,trans,3,300,160
49,2 layer GCN with Edge Weights,0.7633333333333333,in,3,300,160
50,2 layer GCN with Edge Weights,0.74,trans,3,400,160
51,2 layer GCN with Edge Weights,0.7825,in,3,400,160
52,2 layer GCN with Edge Weights,0.7383333333333333,trans,3,600,160
53,2 layer GCN with Edge Weights,0.7716666666666666,in,3,600,160
54,2 layer GCN with Edge Weights,0.712,trans,3,1000,160
55,2 layer GCN with Edge Weights,0.767,in,3,1000,160
56,2 layer GCN with Edge Weights,0.85,trans,4,40,160
57,2 layer GCN with Edge Weights,0.75,in,4,40,160
58,2 layer GCN with Edge Weights,0.81,trans,4,100,160
59,2 layer GCN with Edge Weights,0.76,in,4,100,160
60,2 layer GCN with Edge Weights,0.745,trans,4,200,160
61,2 layer GCN with Edge Weights,0.775,in,4,200,160
62,2 layer GCN with Edge Weights,0.75,trans,4,300,160
63,2 layer GCN with Edge Weights,0.7766666666666666,in,4,300,160
64,2 layer GCN with Edge Weights,0.805,trans,4,400,160
65,2 layer GCN with Edge Weights,0.795,in,4,400,160
